Stkcd,ShortName,Accper,ROE,净利润增长率,营业收入增长率,资产负债率,总资产,研发投入,TobinQ,Year,Quarter,ln_Asset,ln_RD,RD_Intensity,Lag_1_ln_RD,Lag_1_RD_Intensity
300033,同花顺,2025-09-30,0.155878,0.846373,0.436607,0.344901,11453177228.47,862829356.35,17.79539,2025,3,23.161533015656826,20.575727497572647,0.07533537106238102,20.17973661749643,0.056201036535205924
300229,拓尔思,2019-12-31,0.080327,1.499316,0.48095,0.266144,2889279680.67,91373887.89,2.400359,2019,4,21.784273062561038,18.330470316069725,0.031625144668864714,,
300229,拓尔思,2020-03-31,0.004227,-0.908598,-0.574864,0.328353,2861804518.27,18924490.2776,3.107756,2020,1,21.774718213256683,16.75596747595423,0.006612782304585959,18.330470316069725,0.031625144668864714
300229,拓尔思,2020-06-30,0.021256,3.041507,0.474104,0.322145,2851257881.63,34029816.75,3.209064,2020,2,21.771026095830862,17.342747690894132,0.01193501891542196,16.75596747595423,0.006612782304585959
300229,拓尔思,2020-09-30,0.044945,0.418845,0.059353,0.321083,2911491408.99,56080273.44,2.946335,2020,3,21.791931298520968,17.842294694401886,0.01926169978274273,17.342747690894132,0.01193501891542196
300229,拓尔思,2020-12-31,0.150291,3.716386,1.3299138,0.22885,2826922248.09,82032818.16,2.349269,2020,4,21.762454411951023,18.222629958814938,0.029018420374110104,17.842294694401886,0.01926169978274273
300229,拓尔思,2021-03-31,0.005468,-0.946615,-0.61762268,0.351153,3594385601.53,20449038.22,2.359941,2021,1,22.002638909905947,16.83344645744231,0.005689160954599746,18.222629958814938,0.029018420374110104
300229,拓尔思,2021-06-30,0.024437,2.475886,0.542207,0.349071,3593350247.84,46330601.02,2.138944,2021,2,22.002350820939167,17.65131325148065,0.012893427532662535,16.83344645744231,0.005689160954599746
300229,拓尔思,2021-09-30,0.043022,0.023251,-0.093418,0.327456,3608064158.91,67973048.15,2.266852,2021,3,22.00643722139168,18.034621848549087,0.018839201620664842,17.65131325148065,0.012893427532662535
300229,拓尔思,2021-12-31,0.104294,2.395988,0.959063,0.30821,3725979596.7,98036311.54,2.293658,2021,4,22.03859563318489,18.40084850412574,0.026311553511143254,18.034621848549087,0.018839201620664842
300229,拓尔思,2022-03-31,0.007714,-0.866038,-0.548736,0.299516,3708257611.14,28025486.31,2.444825,2022,1,22.03382795665426,17.148624915174533,0.007557588832504101,18.40084850412574,0.026311553511143254
300229,拓尔思,2022-06-30,0.028552,1.715096,0.232288,0.295427,3714016744.96,63226330.93,2.479752,2022,2,22.03537980847204,17.962231416806908,0.017023706480537408,17.148624915174533,0.007557588832504101
300229,拓尔思,2022-09-30,0.03885,-0.494962,-0.096574,0.309221,3834855890.56,95922795.18,2.154501,2022,3,22.06739769363064,18.379054219426287,0.025013402828546055,17.962231416806908,0.017023706480537408
300229,拓尔思,2022-12-31,0.046805,-0.198972,0.275853,0.305438,3883748027.43,127418772.18,2.46252,2022,4,22.08006651076796,18.66298964644742,0.032808197462881515,18.379054219426287,0.025013402828546055
